job_id,job_title,salary_usd,experience_level,company_location,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,company_name,
AI00001,AI Research Scientist,90376,SE,China,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,Smart Analytics,
AI00002,AI Software Engineer,61895,EN,Canada,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,TechCorp Inc,
AI00003,AI Specialist,152626,MI,Switzerland,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,Autonomous Tech,
AI00004,NLP Engineer,80215,SE,India,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,Future Systems,
AI00005,AI Consultant,54624,EN,France,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,Advanced Robotics,
AI00006,AI Architect,123574,SE,Germany,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,Neural Networks Co,
AI00007,Principal Data Scientist,79670,MI,United Kingdom,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,DataVision Ltd,
AI00008,NLP Engineer,70640,EN,France,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,Cloud AI Solutions,
AI00009,Data Analyst,160710,SE,Singapore,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,Quantum Computing Inc,
AI00010,AI Software Engineer,102557,SE,Austria,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,Cloud AI Solutions,
AI00011,Autonomous Systems Engineer,102322,SE,Sweden,Sweden,100,"MLOps, Python, SQL",Associate,8,Telecommunications,Smart Analytics,
AI00012,AI Architect,115047,EX,South Korea,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,TechCorp Inc,
AI00013,AI Consultant,124355,SE,France,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,Predictive Systems,
AI00014,Autonomous Systems Engineer,68760,EN,Norway,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,Cloud AI Solutions,
AI00015,AI Research Scientist,150122,SE,Sweden,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,Advanced Robotics,
AI00016,AI Product Manager,78846,EN,United Kingdom,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,DataVision Ltd,
AI00017,Principal Data Scientist,59823,EN,India,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,Predictive Systems,
AI00018,Machine Learning Engineer,181139,EX,France,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,AI Innovations,
AI00019,Data Engineer,155300,SE,Singapore,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,Algorithmic Solutions,
AI00020,Research Scientist,93851,MI,Netherlands,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,AI Innovations,
AI00021,Data Engineer,134197,MI,Norway,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,AI Innovations,
AI00022,Autonomous Systems Engineer,102550,MI,United States,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,Cognitive Computing,
AI00023,ML Ops Engineer,99382,SE,Germany,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,Quantum Computing Inc,
AI00024,AI Product Manager,52167,MI,Austria,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,Cloud AI Solutions,
AI00025,ML Ops Engineer,53923,MI,China,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,AI Innovations,
AI00026,Robotics Engineer,109779,SE,Israel,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,DataVision Ltd,
AI00027,ML Ops Engineer,80979,MI,Australia,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,TechCorp Inc,
AI00028,Data Analyst,52997,MI,Austria,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,Predictive Systems,
AI00029,Head of AI,42819,EN,Ireland,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,Cognitive Computing,
AI00030,ML Ops Engineer,82083,MI,Israel,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,Future Systems,
AI00031,Head of AI,67488,EN,Netherlands,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,Advanced Robotics,
AI00032,Research Scientist,68624,EN,Denmark,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,Cloud AI Solutions,
AI00033,Robotics Engineer,146852,SE,Switzerland,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,Cognitive Computing,
AI00034,ML Ops Engineer,178183,EX,Finland,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,Predictive Systems,
AI00035,Deep Learning Engineer,150864,SE,Sweden,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,Smart Analytics,
AI00036,Head of AI,126942,EX,Finland,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,Autonomous Tech,
AI00037,AI Architect,53752,MI,Japan,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,TechCorp Inc,
AI00038,Robotics Engineer,111381,EX,Israel,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,Autonomous Tech,
AI00039,AI Specialist,41430,EN,China,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,Future Systems,
AI00040,Data Engineer,166080,EX,Netherlands,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,DeepTech Ventures,
AI00041,Data Scientist,96956,MI,United States,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,DataVision Ltd,
AI00042,AI Architect,196954,SE,United States,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,DataVision Ltd,
AI00043,AI Specialist,56745,EN,Finland,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,Quantum Computing Inc,
AI00044,Machine Learning Researcher,113455,SE,Singapore,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,AI Innovations,
AI00045,ML Ops Engineer,158808,SE,Netherlands,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,Future Systems,
AI00046,AI Research Scientist,174663,SE,United States,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,DeepTech Ventures,
AI00047,AI Research Scientist,46753,EN,India,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,Quantum Computing Inc,
AI00048,AI Software Engineer,69020,MI,China,China,0,"Java, Azure, GCP",Bachelor,4,Energy,TechCorp Inc,
AI00049,AI Specialist,288815,EX,Switzerland,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,Cognitive Computing,
AI00050,AI Consultant,124871,EX,Austria,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,Autonomous Tech,
AI00051,AI Architect,70391,MI,Germany,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,TechCorp Inc,
AI00052,Research Scientist,115376,EX,India,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,Autonomous Tech,
AI00053,Research Scientist,106579,MI,United States,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,Cognitive Computing,
AI00054,Data Scientist,135230,SE,Norway,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,DataVision Ltd,
AI00055,Research Scientist,67607,MI,Israel,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,Quantum Computing Inc,
AI00056,AI Architect,88470,MI,Canada,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,Autonomous Tech,
AI00057,Autonomous Systems Engineer,79863,MI,India,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,Autonomous Tech,
AI00058,Machine Learning Engineer,60299,EN,Israel,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,Advanced Robotics,
AI00059,Machine Learning Engineer,85645,MI,Germany,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,AI Innovations,
AI00060,AI Software Engineer,110222,SE,United Kingdom,France,0,"R, Spark, AWS",Associate,8,Media,TechCorp Inc,
AI00061,Data Scientist,49365,EN,China,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,Predictive Systems,
AI00062,Data Scientist,162296,SE,Norway,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,Neural Networks Co,
AI00063,AI Consultant,102382,MI,Switzerland,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,Smart Analytics,
AI00064,AI Software Engineer,99972,MI,Australia,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,Cloud AI Solutions,
AI00065,Data Engineer,64129,EN,South Korea,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,Machine Intelligence Group,
AI00066,AI Specialist,87938,SE,Ireland,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,Machine Intelligence Group,
AI00067,Autonomous Systems Engineer,71405,MI,Israel,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,Advanced Robotics,
AI00068,Machine Learning Engineer,316182,EX,Denmark,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,Digital Transformation LLC,
AI00069,Machine Learning Researcher,72459,EN,Germany,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,Quantum Computing Inc,
AI00070,Principal Data Scientist,78338,MI,France,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,Cognitive Computing,
AI00071,NLP Engineer,51907,MI,Israel,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,Neural Networks Co,
AI00072,Autonomous Systems Engineer,122831,SE,France,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,Algorithmic Solutions,
AI00073,Machine Learning Researcher,124820,MI,Norway,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,Cognitive Computing,
AI00074,Autonomous Systems Engineer,134200,SE,United Kingdom,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,Machine Intelligence Group,
AI00075,Data Engineer,51920,EN,Sweden,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,Digital Transformation LLC,
AI00076,Data Engineer,56427,EN,Singapore,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,DeepTech Ventures,
AI00077,AI Product Manager,213783,EX,Canada,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,Quantum Computing Inc,
